स्त्रियो,,स्त्री,ियो
सखियों,,सखी,ियों
पोदीने,,पोदीना,े
फासले,,फासला,े
तिनकों,,तिनका,ों
काटों,,काटा,ों
व्यभिचारिणियों,,व्यभिचारिणी,ियों
हल्ले,,हल्ला,े
झाडियों,,झाडी,ियों
हथकडिय़ां,,हथकडी,िय़ां
लड़कियां,,लड़की,ियां
सुर्ख़ियों,,सुर्ख़ी,ियों
दंगे,,दंगा,े
सीढियां,,सीढी,ियां
चिडिय़ों,,चिडिय़ा,ों
पके,,पका,े
सराहें,,सराहा,ें
घराने,,घराना,े
नतीज़े,,नतीज़ा,े
सैकड़ों,,सैकड़ा,ों
लकड़ियाँ,,लकड़ी,ियाँ
मटमैले,,मटमैला,े
अचम्भित,,अचम्भा,ित
टुकड़ो,,टुकड़ा,ो
अठखेलियां,,अठखेली,ियां
यूसुफवंशियों,,यूसुफवंशी,ियों
लड़कियों,,लड़की,ियों
नतीजे,,नतीजा,े
थानों,,थाना,ों
घोंसले,,घोंसला,े
अफ्रीकि,,अफ्रीका,ि
तवों,,तवा,ों
लड़के,,लड़का,े
प्रणालियों,,प्रणाली,ियों
देवियां,,देवी,ियां
जिम्मे,,जिम्मा,े
भतीजों,,भतीजा,ों
कुर्ते,,कुर्ता,े
ज़माने,,ज़माना,े
छुट्टियाँ,,छुट्टी,ियाँ
भीड्ॅअ,,भीड्ॅी,अ
छुड़वाने,,छुड़वाा,ने
लेनेवाले,,लेनेवाला,े
चचेरे,,चचेरा,े
खोजियों,,खोजी,ियों
व्यक्ती,,व्यक्ति,ी
छुरे,,छुरा,े
धज्जियाँ,,धज्जी,ियाँ
न्यारे,,न्यारा,े
रानियां,,रानी,ियां
रहनेवालो,,रहनेवाला,ो
निराले,,निराला,े
खाते,,खाता,े
ठीकरे,,ठीकरा,े
पुरनियो,,पुरनी,ियो
स्वामियों,,स्वामी,ियों
घन्टे,,घन्टा,े
दावे,,दावा,े
हड्डियाँ,,हड्डी,ियाँ
मालियों,,माली,ियों
मुंड़े,,मुंड़ा,े
पासे,,पासा,े
भणडारियों,,भणडारी,ियों
अरबियों,,अरबी,ियों
जूतियां,,जूती,ियां
टिड्डियों,,टिड्डी,ियों
ताजे,,ताजा,े
चोगे,,चोगा,े
छल्ले,,छल्ला,े
चिन्गारियाँ,,चिन्गारी,ियाँ
गोत्रियों,,गोत्री,ियों
इकटठे,,इकटठा,े
पोतों,,पोता,ों
चिकने,,चिकना,े
अनसोचे,,अनसोचा,े
कीड़े,,कीड़ा,े
ऊँचे,,ऊँचा,े
बोलियां,,बोली,ियां
सहारे,,सहारा,े
मसूढ़े,,मसूढ़ा,े
घरघराने,,घरघराना,े
बट्टे,,बट्टा,े
